Completed Date , Description , Paid Out (GBP) , Paid In (GBP) , Exchange Out, Exchange In, Balance (GBP), Category, Notes
29-Jan-19, To Holidays   ,1.02,  ,  ,  ,362.07, transfers, 
29-Jan-19, To Holidays   ,1.02,  ,  ,  ,363.09, transfers, 
29-Jan-19, To Holidays   ,0.6,  ,  ,  ,364.11, transfers, 
29-Jan-19, To Holidays   ,0.1,  ,  ,  ,364.71, transfers, 
28-Jan-19, From Luca Mircoli  ,  ,5,  ,  ,457.3, transfers, 
28-Jan-19, To Holidays   ,2,  ,  ,  ,452.3, transfers, 
28-Jan-19, To Holidays   ,1.06,  ,  ,  ,454.3, transfers, 
28-Jan-19, To Holidays   ,0.6,  ,  ,  ,455.36, transfers, 
28-Jan-19, To Holidays   ,0.6,  ,  ,  ,455.96, transfers, 
27-Jan-19, Payment from Grancharova T  ,  ,293,  ,  ,456.56, general, TV PAYMENT
27-Jan-19, To Holidays   ,0.02,  ,  ,  ,163.56, transfers, 
27-Jan-19, To Holidays   ,1.12,  ,  ,  ,163.58, transfers, 
27-Jan-19, Deliveroo  ,28.44,  ,  ,  ,364.81, groceries, 
26-Jan-19, From Luca Mircoli  ,  ,40,  ,  ,257.3, transfers, 
26-Jan-19, Cash at Kilburn Ug Station  ,20,  ,  ,  ,402.65, cash, 
26-Jan-19, From Holidays   ,  ,20,  ,  ,217.3, transfers, 
26-Jan-19, To Holidays   ,2,  ,  ,  ,197.3, transfers, 
26-Jan-19, Selfridges London  ,30,  ,  ,  ,423.65, shopping, 
26-Jan-19, To Holidays   ,1.2,  ,  ,  ,199.3, transfers, 
26-Jan-19, Ole & Steen  ,9.4,  ,  ,  ,393.25, groceries, 
26-Jan-19, To Holidays   ,0.7,  ,  ,  ,200.5, transfers, 
26-Jan-19, Pret A Manger  ,3.65,  ,  ,  ,453.65, restaurants, 
26-Jan-19, To Holidays   ,2,  ,  ,  ,201.2, transfers, 
26-Jan-19, M&S Bond Street Simply Food  ,1,  ,  ,  ,422.65, groceries, 
26-Jan-19, To Holidays   ,2,  ,  ,  ,305.1, transfers, 
26-Jan-19, C London  ,60,  ,  ,  ,185.8, restaurants, 
25-Jan-19, To Holidays   ,0.2,  ,  ,  ,307.1, transfers, 
25-Jan-19, Transport for London  ,2.9,  ,  ,  ,312.3, transport, 
25-Jan-19, To Holidays   ,1.7,  ,  ,  ,335, transfers, 
25-Jan-19, The Clachan  ,5.15,  ,  ,  ,180.65, restaurants, 
25-Jan-19, To Holidays   ,1,  ,  ,  ,336.7, transfers, 
25-Jan-19, Pret A Manger  ,1.5,  ,  ,  ,245.8, restaurants, 
25-Jan-19, Cash at Royal Bank of Scotland  ,10,  ,  ,  ,247.3, cash, 
25-Jan-19, To Holidays   ,0.1,  ,  ,  ,337.7, transfers, 
25-Jan-19, Badolina  ,15.95,  ,  ,  ,164.7, restaurants, 
24-Jan-19, To Holidays   ,1.62,  ,  ,  ,337.8, transfers, 
24-Jan-19, Temakinho  ,68.19,  ,  ,  ,203.2, restaurants, 
24-Jan-19, To Holidays   ,0.4,  ,  ,  ,339.42, transfers, 
24-Jan-19, Topshop  ,12.8,  ,  ,  ,292.3, shopping, 
24-Jan-19, To Holidays   ,1.5,  ,  ,  ,339.82, transfers, 
24-Jan-19, Marylebone  ,3.25,  ,  ,  ,271.39, restaurants, 
24-Jan-19, To Holidays   ,1.56,  ,  ,  ,341.32, transfers, 
24-Jan-19, Etnacoffee  ,9.22,  ,  ,  ,274.64, restaurants, 
24-Jan-19, To Holidays   ,1.12,  ,  ,  ,342.88, transfers, 
24-Jan-19, Pret A Manger  ,8.44,  ,  ,  ,283.86, restaurants, 
24-Jan-19, To Holidays   ,0.2,  ,  ,  ,349.55, transfers, 
24-Jan-19, Transport for London  ,2.9,  ,  ,  ,349.75, transport, 
23-Jan-19, To Luca Mircoli  ,15,  ,  ,  ,361.7, transfers, 
23-Jan-19, To Holidays   ,1.2,  ,  ,  ,386.1, transfers, 
23-Jan-19, Transport for London  ,2.4,  ,  ,  ,387.3, transport, 
23-Jan-19, To Holidays   ,2,  ,  ,  ,392.5, transfers, 
23-Jan-19, Arrow ECS  ,5,  ,  ,  ,307.3, restaurants, 
23-Jan-19, To Holidays   ,1.8,  ,  ,  ,394.5, transfers, 
23-Jan-19, UoW  ,5.1,  ,  ,  ,315.2, restaurants, 
23-Jan-19, To Holidays   ,0.6,  ,  ,  ,396.3, transfers, 
23-Jan-19, UoW  ,4.7,  ,  ,  ,320.3, restaurants, 
23-Jan-19, Exchange  to GBP FX Rate £1 = €1.1401 ,  ,87.71,  EUR 100.00 ,  ,396.9, general, 
23-Jan-19, From Holidays   ,  ,9.71,  ,  ,309.19, transfers, 
22-Jan-19, From Luca Mircoli  ,  ,178,  ,  ,299.48, transfers, 
22-Jan-19, To Holidays   ,1.9,  ,  ,  ,121.48, transfers, 
22-Jan-19, Hilco Supermarket Limited  ,9.05,  ,  ,  ,352.65, groceries, 
22-Jan-19, Cash at Royal Bank of Scotland  ,10,  ,  ,  ,325, cash, 
22-Jan-19, To Holidays   ,0.9,  ,  ,  ,123.38, transfers, 
22-Jan-19, UoW  ,1.55,  ,  ,  ,348, restaurants, 
22-Jan-19, To Holidays   ,2,  ,  ,  ,124.28, transfers, 
22-Jan-19, Marylebone  ,4,  ,  ,  ,344, restaurants, 
22-Jan-19, To Holidays   ,0.4,  ,  ,  ,126.28, transfers, 
22-Jan-19, Transport for London  ,2.8,  ,  ,  ,389.7, transport, 
22-Jan-19, To Holidays   ,0.4,  ,  ,  ,146.47, transfers, 
22-Jan-19, Transport for London  ,4.8,  ,  ,  ,146.87, transport, 
21-Jan-19, To Holidays   ,1.2,  ,  ,  ,162.65, transfers, 
21-Jan-19, Kastner & Ovens  ,9.4,  ,  ,  ,376.7, restaurants, 
20-Jan-19, Exchange  to GBP FX Rate £1 = €1.1385 ,  ,131.74,  EUR 150.00 ,  ,163.85, general, 
20-Jan-19, Transport for London  ,5.3,  ,  ,  ,98.17, transport, 
19-Jan-19, To Holidays   ,0.04,  ,  ,  ,170.86, transfers, 
19-Jan-19, Mayfair Food Fayre  ,10.98,  ,  ,  ,151.67, groceries, 
19-Jan-19, From Holidays   ,  ,7,  ,  ,197.34, transfers, 
18-Jan-19, To Holidays   ,0.42,  ,  ,  ,190.34, transfers, 
18-Jan-19, Deliveroo  ,19.79,  ,  ,  ,126.68, groceries, 
18-Jan-19, From Luca Mircoli  ,  ,10,  ,  ,190.76, transfers, 
18-Jan-19, To Holidays   ,1.88,  ,  ,  ,180.76, transfers, 
18-Jan-19, Uber Eats  ,16.06,  ,  ,  ,82.11, transport, 
18-Jan-19, To Holidays   ,0.2,  ,  ,  ,199.53, transfers, 
18-Jan-19, Transport for London  ,2.9,  ,  ,  ,199.73, transport, 
18-Jan-19, To Holidays   ,0.4,  ,  ,  ,202.63, transfers, 
18-Jan-19, Park Plaza Sherlock Holmes London  ,1.8,  ,  ,  ,169.06, restaurants, 
18-Jan-19, To Holidays   ,2,  ,  ,  ,203.03, transfers, 
18-Jan-19, Transport for London  ,7,  ,  ,  ,170.9, transport, 
17-Jan-19, Cash at Royal Bank of Scotland  ,50,  ,  ,  ,32.11, cash, 
17-Jan-19, To Holidays   ,0.82,  ,  ,  ,205.03, transfers, 
17-Jan-19, Burger & Lobster Mayfair  ,65.59,  ,  ,  ,103.47, restaurants, 
17-Jan-19, Exchange  to GBP FX Rate £1 = €1.1404 ,  ,131.52,  EUR 150.00 ,  ,205.85, general, 
17-Jan-19, To Holidays   ,0.8,  ,  ,  ,74.33, transfers, 
17-Jan-19, Marylebone  ,4.6,  ,  ,  ,177.9, restaurants, 
17-Jan-19, To Holidays   ,0.22,  ,  ,  ,75.13, transfers, 
17-Jan-19, itsu  ,12.89,  ,  ,  ,184.45, restaurants, 
17-Jan-19, To Holidays   ,0.1,  ,  ,  ,75.35, transfers, 
17-Jan-19, Marylebone  ,1.95,  ,  ,  ,182.5, restaurants, 
17-Jan-19, To Holidays   ,0.4,  ,  ,  ,277.88, transfers, 
17-Jan-19, Transport for London  ,4.8,  ,  ,  ,278.28, transport, 
16-Jan-19, From Holidays   ,  ,23,  ,  ,283.08, transfers, 
16-Jan-19, To Holidays   ,0.4,  ,  ,  ,260.08, transfers, 
16-Jan-19, Transport for London  ,4.8,  ,  ,  ,260.48, transport, 
16-Jan-19, To Holidays   ,1.72,  ,  ,  ,298.54, transfers, 
16-Jan-19, Park Plaza Sherlock Holmes London  ,14.14,  ,  ,  ,182.64, restaurants, 
16-Jan-19, To Holidays   ,0.5,  ,  ,  ,300.26, transfers, 
16-Jan-19, Pret A Manger  ,2.75,  ,  ,  ,196.78, restaurants, 
16-Jan-19, Exchange  to GBP FX Rate £1 = €1.1251 ,  ,47.99,  EUR 54.00 ,  ,300.76, general, 
15-Jan-19, To Bruno Arturo Fragnito  ,20,  ,  ,  ,252.77, transfers, 
15-Jan-19, To Holidays   ,0.1,  ,  ,  ,272.77, transfers, 
15-Jan-19, Marylebone  ,1.95,  ,  ,  ,275.93, restaurants, 
15-Jan-19, To Holidays   ,0.1,  ,  ,  ,272.87, transfers, 
15-Jan-19, Marylebone  ,1.95,  ,  ,  ,273.98, restaurants, 
15-Jan-19, To Holidays   ,1.4,  ,  ,  ,272.97, transfers, 
15-Jan-19, Marylebone  ,1.3,  ,  ,  ,272.68, restaurants, 
15-Jan-19, To Holidays   ,1.34,  ,  ,  ,274.37, transfers, 
15-Jan-19, The Ginger Pig  ,6.33,  ,  ,  ,232.35, groceries, 
14-Jan-19, To Holidays   ,0.38,  ,  ,  ,291.31, transfers, 
14-Jan-19, Tesco Superstore  ,6.81,  ,  ,  ,283.23, groceries, 
14-Jan-19, To Holidays   ,2,  ,  ,  ,291.69, transfers, 
14-Jan-19, Flat Iron  ,34,  ,  ,  ,238.68, restaurants, 
14-Jan-19, To Holidays   ,0.4,  ,  ,  ,593.08, transfers, 
14-Jan-19, Transport for London  ,4.8,  ,  ,  ,593.48, transport, 
14-Jan-19, To Holidays   ,0.4,  ,  ,  ,624.32, transfers, 
14-Jan-19, Transport for London  ,4.8,  ,  ,  ,624.72, transport, 
14-Jan-19, To Holidays   ,0.1,  ,  ,  ,629.52, transfers, 
14-Jan-19, Marylebone  ,2.95,  ,  ,  ,265.28, restaurants, 
14-Jan-19, To Holidays   ,0.2,  ,  ,  ,629.62, transfers, 
14-Jan-19, ELSA WU  ,156.9,  ,  ,  ,75.45, general, 
14-Jan-19, From Luca Mircoli  ,  ,157,  ,  ,629.82, transfers, 
14-Jan-19, To Holidays   ,0.4,  ,  ,  ,472.82, transfers, 
14-Jan-19, Sainsbury's  ,9.8,  ,  ,  ,273.43, groceries, 
14-Jan-19, To Holidays   ,1,  ,  ,  ,473.22, transfers, 
14-Jan-19, Etnacoffee  ,8.5,  ,  ,  ,290.04, restaurants, 
14-Jan-19, To Holidays   ,1.6,  ,  ,  ,474.22, transfers, 
14-Jan-19, Marylebone  ,5.2,  ,  ,  ,268.23, restaurants, 
14-Jan-19, To Holidays   ,2,  ,  ,  ,475.82, transfers, 
14-Jan-19, Transport for London  ,7,  ,  ,  ,275.71, transport, 
13-Jan-19, Exchange  to GBP FX Rate £1 = €1.1260 ,  ,142.97,  EUR 161.00 ,  ,477.82, general, 
13-Jan-19, To Holidays   ,2,  ,  ,  ,334.85, transfers, 
13-Jan-19, Boots  ,4,  ,  ,  ,287.31, health, 
13-Jan-19, To Holidays   ,0.8,  ,  ,  ,336.85, transfers, 
13-Jan-19, Pret A Manger  ,4.6,  ,  ,  ,282.71, restaurants, 
12-Jan-19, From Luca Mircoli  ,  ,10,  ,  ,360.25, transfers, 
12-Jan-19, To Holidays   ,1.22,  ,  ,  ,350.25, transfers, 
12-Jan-19, Buongiorno e Buonasera  ,12.39,  ,  ,  ,609.98, restaurants, 
12-Jan-19, To Holidays   ,1.6,  ,  ,  ,351.47, transfers, 
12-Jan-19, Marylebone  ,5.2,  ,  ,  ,602.18, restaurants, 
12-Jan-19, To Holidays   ,0.2,  ,  ,  ,353.07, transfers, 
12-Jan-19, ELSA WU  ,295.9,  ,  ,  ,293.69, general, 
12-Jan-19, From Holidays   ,  ,2,  ,  ,353.27, transfers, 
12-Jan-19, Exchange  to GBP FX Rate £1 = €1.1259 ,  ,310.84,  EUR 350.00 ,  ,351.27, general, 
12-Jan-19, To Holidays   ,0.8,  ,  ,  ,40.43, transfers, 
12-Jan-19, Lexington Catering  ,2.6,  ,  ,  ,607.38, restaurants, 
12-Jan-19, To Holidays   ,0.1,  ,  ,  ,41.23, transfers, 
